Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,collector_type_source,"Price and Baggage Regulations: How important are the cost of the flight and the airline's baggage policies (e.g., fees for checked baggage, carry-on allowances) when choosing an airline?",Specific Desired Airport: How important is it for you to fly into or out of a specific airport when choosing an airline?,Track Record of Being On Time: How important is an airline's track record of being on time (punctuality) when choosing an airline?,"Service Quality and Comfort: How important are service quality and comfort (e.g., seat comfort, in-flight services) when choosing an airline? In other words, does having a good experience (or negative) with an airline have a large impact on you flying with them again.","Loyalty Scheme: How important is an airline's loyalty program (e.g., frequent flyer miles) in your decision to choose that airline?",Do you believe premiums airlines tend to be more punctual when compared with budget airlines?,Ranking of Factors:Please rank the following factors from most important to least important when choosing an airline (5 being the most important and 1 being the least important):,,,,,Gender,Age,Major US Region,Device,Household Income
,,,,,,,,,,Response,Response,Response,Response,Response,Response,Price and Baggage Regulations,Specific Desired Airport,Track Record of Being On Time,Service Quality and Comfort,Loyalty Scheme,,,,,
118651110984,457190052,07/19/2024 12:49:21 AM,07/19/2024 12:56:33 AM,,,,,88db0b87b1a116a24e1f4a6907,smc,4,4,4,4,4,Yes,2,3,1,4,5,female,30_to_44,middle_atlantic,android_mobile,125000_to_149999
118651110919,457190052,07/19/2024 12:48:39 AM,07/19/2024 12:56:25 AM,,,,,ddf7d492c72a6281155593bc57,smc,4,4,4,4,4,Yes,3,1,4,2,5,male,30_to_44,middle_atlantic,android_mobile,125000_to_149999
118651110768,457190052,07/19/2024 12:48:45 AM,07/19/2024 12:56:11 AM,,,,,9e4bd9572110ec2843fcdc297d,smc,4,4,4,4,4,Yes,2,3,4,1,5,male,30_to_44,pacific,android_mobile,125000_to_149999
118651110690,457190052,07/19/2024 12:48:46 AM,07/19/2024 12:55:59 AM,,,,,350b1436ce1832fa8131c620d2,smc,4,4,4,4,4,Yes,2,1,3,4,5,male,30_to_44,middle_atlantic,android_mobile,125000_to_149999
118651110575,457190052,07/19/2024 12:48:49 AM,07/19/2024 12:55:46 AM,,,,,2cb23d0fbb2b1351246a979121,smc,4,4,4,4,4,Yes,2,1,3,4,5,male,30_to_44,middle_atlantic,android_mobile,125000_to_149999
118651109257,457190052,07/19/2024 12:48:35 AM,07/19/2024 12:53:24 AM,,,,,01e659e25ba0fc9fa9e2eff20c,smc,5,5,4,4,2,No,2,1,3,4,5,male,60_above,south_atlantic,other,no_answer
118651109037,457190052,07/19/2024 12:49:18 AM,07/19/2024 12:52:54 AM,,,,,5f2c9c48bc9416ea41aa6c9231,smc,,,,,,No,5,4,1,3,2,female,60_above,south_atlantic,android_mobile,50000_to_74999
118651108453,457190052,07/19/2024 12:48:46 AM,07/19/2024 12:51:38 AM,,,,,03b7e7358c2c9ceb6d63a0dee3,smc,4,5,4,4,4,Yes,1,2,3,4,5,male,30_to_44,pacific,android_mobile,200000_and_up
118651108381,457190052,07/19/2024 12:48:20 AM,07/19/2024 12:51:28 AM,,,,,1c3029941d72eb89e2e5c81dba,smc,5,4,3,3,1,Yes,1,2,4,3,5,male,45_to_60,middle_atlantic,ios_mobile,125000_to_149999
118651108338,457190052,07/19/2024 12:49:20 AM,07/19/2024 12:51:23 AM,,,,,7067ac41fb3da55d0cb8273a1a,smc,4,4,5,5,3,Yes,3,5,2,4,1,female,60_above,east_north_central,pc_windows,25000_to_49999
118651108073,457190052,07/19/2024 12:49:13 AM,07/19/2024 12:50:51 AM,,,,,d09bfa253fe1f30b5fdf97e786,smc,5,5,3,3,3,Yes,5,4,3,2,1,female,45_to_60,west_north_central,ios_mobile,50000_to_74999
118651108015,457190052,07/19/2024 12:48:42 AM,07/19/2024 12:50:43 AM,,,,,59d5041f6a8b46c3dc22b16a7d,smc,5,5,5,5,5,Yes,2,3,4,1,5,female,30_to_44,middle_atlantic,android_mobile,150000_to_174999
118651107990,457190052,07/19/2024 12:49:07 AM,07/19/2024 12:50:40 AM,,,,,f6b4284c69dc2c109b59387195,smc,4,5,4,5,2,No,3,2,4,1,5,female,30_to_44,east_north_central,android_mobile,100000_to_124999
